29°„53°‰00°ÂE
71°„35°‰00°ÂW,55°„55°‰00°ÂS,54°„40°‰00°ÂS,69°„00°‰00°ÂW
62°„16°‰29°ÂS,58°„45°‰05°ÂW,58°„52°‰44°ÂW,62°„11°‰14°ÂS
62°„09°‰07°ÂS,58°„34°‰00°ÂW,59°„00°‰47°ÂW
69°„35°‰30°ÂW,62°„09°‰00°ÂS,59°„00°‰00°ÂW
"62°„27°‰51,0°ÂS",°Ï9°„39°‰00°ÂW,59°„S0°‰00°ÂW
60°„55°‰00°ÂW,60°„38°‰00°ÂW,62°„30°‰00°ÂS,62°„25°‰00°ÂS
61°„18°‰00°ÂW,62°„48°‰48°ÂS,61°„00°‰00°ÂW,62°„43°‰00°ÂS
63°„55°‰48°ÂS,57°„47°‰00°ÂW,62°„57°‰00°ÂS
63°„16°‰38°ÂS,58°„00°‰00°ÂW,63°„20°‰08°ÂS,°Ï7°„51°‰S1°ÂW
29°„26°‰00°ÂS,71°„20°‰00°ÂW,29°„27°‰30°ÂS
80°„14°‰00°ÂW,26°„06°‰00°ÂS,79°„47°‰30°ÂW,26028°„00°‰S°ÂS
80°„03°‰40°ÂW,26°„19°‰02.7°ÂS,80°„09°‰40°ÂW,"26°„14°‰46,7°ÂS"
108°„50°‰00°ÂW,26°„42°‰00°ÂS
109°„36°‰00°ÂW,109°„05°‰00°ÂW,26°„°Ï8°‰00°ÂS,97°„18°‰00°ÂS
109°„19°‰SO°ÂW,27°„05°‰30°ÂS,109°„17°‰00°ÂW,27°„03°‰54°ÂS
109°„28°‰00°ÂW,27°„10°‰20°ÂS,27°„07°‰50°ÂS
73°„30°‰00°ÂW,26°„35°‰00°ÂS,70°„30°‰00°ÂW,30°„20°‰00°ÂS
27°„69°‰307S°ÂN,70°„48°‰00°ÂW,70°„57°‰277W°ÂE,27°„00°‰06°ÂS
33°„20°‰00°ÂS,29°„40°‰00°ÂS,74°„00°‰00°ÂW
30°„20°‰00°ÂS,29°„44715°‰S°ÂS,11915°„00°‰W°ÂW
29°„59°‰18°ÂS,29°„53°‰36°ÂS
30°„13°‰04°ÂS,30°„04°‰12°ÂS,71°„31°‰00°ÂW
30°„19°‰42°ÂS,30°„06°‰25°ÂS,71°„28°‰00°ÂW,71940°„30°‰W°ÂW
72°„40°‰00°ÂW,31°„40°‰00°ÂS
31°„57°‰18°ÂS,71943°„00°‰W°ÂW,31°„42°‰54°ÂS
31°„53°‰42°ÂS,31°„50°‰39°ÂS,471°„29°‰16°ÂW,71°„31°‰18°ÂW
71°„26°‰00°ÂW,32°„38°‰00°ÂS,71°„45°‰00°ÂW
32°„42°‰57°ÂS,32°„47°‰16°ÂS
32°„56°‰06°ÂS
32°„44°‰30°ÂS,32°„38°‰90°ÂS,71°„35°‰36°ÂW
71°„20°‰00°ÂW,74°„50°‰00°ÂW,32°„40°‰00°ÂS,37°„20°‰00°ÂS
72°„20°‰00°ÂW,71°„20°‰00°ÂW,32°„29°‰00°ÂS,34°„10°‰00°ÂS
32°„58°‰41°ÂS,71°„39°‰13°ÂW,11°„32°‰34°ÂW
33°„01°‰00°ÂN
71942°„35°‰W°ÂW,33°„22°‰03°ÂS
43°„30°‰00°ÂS,80°„00°‰00°ÂW,51030°„00°‰S°ÂS
63°„30°‰00°ÂW,77°„30°‰00°ÂW,51°„00°‰00°ÂS
34°„00°‰00°ÂS,01°„00°‰00°ÂS,70°„00°‰00°ÂW
12°„56°‰17°ÂE,24°„12°‰18°ÂS,21°„40°‰00°ÂS,14°„49°‰59°ÂE
